Row Labels,Ward/Project Number,Project Name,SubProject Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,FAC906395-860,Mechanical and Electrical,1008 Yonge - Replace Air Compressor System,0,0,0,0,0,0,0,0,0,5
,PKS000017-698,Park Development,Ramsden Park - Additional Funding/Donation/S42,300,"2,200","1,000",0,0,0,0,0,0,0
,TPA000054-2,Cabbagetown,Cabbagetown 2014,600,0,0,0,0,0,0,0,0,0
,PKS000017-695,Park Development,Jessie Ketchum Park Redevelopment - S42,435,0,0,0,0,0,0,0,0,0
,ACH000010-81,Cultural Infrastructure Development,Prince Edward Viaduct Illumination - Luminous Veil,"1,600",0,0,0,0,0,0,0,0,0
,HOM907941-7,2014-2019 GEORGE STREET REVITALIZATION (LTC HOMES),2014 GSR (LTC Homes) Feasibility Study,450,0,0,0,0,0,0,0,0,0
,SHL907278-16,Shelter Development/Redevelopment ,Shelter Development Redevelopment 2014,600,0,0,0,0,0,0,0,0,0
,FAC906397-273,Renovations,135 Davenport-Replace Existing Vinyl Flooring,7,111,0,0,0,0,0,0,0,0
,PKS000026-167,Special Facilities,Allan Gardens Washroom Building Construction - S42,900,0,0,0,0,0,0,0,0,0
,FAC906395-902,Mechanical and Electrical,60 Queen St W - Various Projects - Mechanical 1,0,34,813,0,0,0,0,0,0,0
,PKS000017-746,Park Development,Cawthra Square Park Phase 2 Construction,650,0,0,0,0,0,0,0,0,0
,TRN907546-5,Regent Park Revitalization,Regent Park Revitalization,0,847,326,130,"1,068",411,164,758,292,116
,FAC906395-918,Mechanical and Electrical,40 College St-Hot water Recirculation Lines and Va,207,0,0,0,0,0,0,0,0,0
,FAC906395-866,Mechanical and Electrical,135 Davenport Road - Various Projects,0,0,0,0,0,0,0,0,14,154
,Toronto Centre-Rosedale-27 Total,,,"17,899","12,770","3,573","2,355","7,567","5,337","5,369",808,390,"1,525"
28,Toronto Centre-Rosedale-28,,,,,,,,,,,,
,ACH000011-37,Service Enhancement,Market Gallery - FY,0,0,0,0,0,110,240,0,0,0
,ACH000016-1,Major Maintenance ,Young People's Theatre - FY,0,0,0,352,0,248,350,400,0,400
,ACH000016-83,Major Maintenance ,Alumnae Theatre - 2013,400,0,0,0,0,0,0,0,0,0
,FAC906393-43,Re-roofing,475 Dundas St. E-Repl of Flat Roof,11,221,0,0,0,0,0,0,0,0
,FAC906394-183,Structural/Building Envelope,235 Cibola-Exterior wall rehabilitation,0,0,0,211,0,0,0,0,0,0
,FAC906394-301,Structural/Building Envelope,71 Front W-Union Station SOGR Projects,0,0,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
,FAC906394-88,Structural/Building Envelope,111 King St E-Repl of Solarium Glazing,0,0,0,0,0,0,0,0,32,320
,FAC906395-126,Mechanical and Electrical,91 Front St E- RPL Switchboards and Htg Pumps,288,0,0,0,0,0,0,0,0,0
,FAC906395-151,Mechanical and Electrical,91 Front St - Replace Exhaust Fans,0,0,0,0,0,0,0,0,29,246
,FAC906395-176,Mechanical and Electrical,157 King St E - Repl of Exhaust Fans,0,0,0,0,0,0,0,0,5,50
,FAC906395-3,Mechanical and Electrical,235 Cibola Ave - Unit Heater & Other,0,50,0,0,0,0,0,0,0,0
,FAC906395-401,Mechanical and Electrical,246 The Esplanade-Elevator modernization,0,0,0,0,6,374,0,0,0,0
,FAC906395-420,Mechanical and Electrical,"207 Front E-Rpl Garage Heater, Roof Fans",0,0,0,32,0,0,0,0,0,0
,FAC906395-421,Mechanical and Electrical,"235 Cibola-Rpl Aparatus Bay, Wshrm, Fans",0,7,32,0,0,0,0,0,0,0
,FAC906395-573,Mechanical and Electrical,91 Front E - Repl of Elec Dist Equip,0,0,0,0,37,364,0,0,0,0
,FAC906395-609,Mechanical and Electrical,235 CIBOLA AVE - Garage Unit Heater,0,0,0,0,8,24,0,0,0,0
,FAC906395-613,Mechanical and Electrical,91 Front St E- Rpl of Switchboards,0,0,0,0,0,0,0,0,0,52
,FAC906397-105,Renovations,235 Cibola-Interior Repainting,0,0,0,83,0,0,0,0,0,0
,FAC906397-33,Renovations,157 King- Windows Washrooms Carpets AHU,0,0,0,0,0,0,0,0,0,30
,FAC907554-2, St. Lawrence Market North Property ,Redevelopment of St. Lawrence Market North,"6,065","15,935","15,000","3,125",0,0,0,0,0,0
,FAC907554-3, St. Lawrence Market North Property ,SLM North - Additional Funding for Moving Costs,0,0,0,400,0,0,0,0,0,0
,LIB907262-6,St. Lawrence Neighbourhood Library Relocation,St. Lawrence Neighbourhood Library Expansion,0,0,419,"4,016",0,"4,647",0,0,0,0
,PKS000017-419,Park Development,Harbour Square Park - Redesign^,0,50,700,0,0,0,0,0,0,0
,PKS000017-506,Park Development,Regent Parkette CRC,105,0,0,0,0,0,0,0,0,0
,PKS000017-507,Park Development,Regent Park Athletic Field Design,0,0,0,0,0,50,250,75,75,0
,PKS000017-508,Park Development,Regent Park Athletic Field Construction,0,0,0,0,0,0,0,625,800,0
,PKS000017-510,Park Development,Centre Island - Construct a Picnic Shelter^,0,0,50,450,0,0,0,0,0,0
,PKS000017-651,Park Development,Berczy Park Design - S42,100,0,0,0,0,0,0,0,0,0
,PKS000017-652,Park Development,Berczy Park Construction - S42,"2,250",750,0,0,0,0,0,0,0,0
,PKS000019-25,Playgrounds/Waterplay,Centre Island West - Wading Pool Conversion,0,0,50,450,0,0,0,0,0,0
,PKS000020-100,Pool,Wellesley CC Pool - Construction - S37/45/42,0,466,"3,678","5,895",0,0,0,0,0,0
,PKS000020-110,Pool,Wellesley CC Pool Design - S37/S45,700,0,0,0,0,0,0,0,0,0
,PKS000026-6,Special Facilities,Firehall Slip 35 - Renovations,0,0,0,50,700,0,0,0,0,0
,PKS023   -274,Community Centres,Regent CC-TDSB Fund,0,600,0,0,0,0,0,0,0,0
,TPA906552-1,Bay/Lakeshore (downtown fringe south),Bay/Lakeshore (Downtown fringe south),0,0,0,0,0,0,"10,000",0,0,0
,TPA907139-1,Financial District East (Queen/Jarvis), Financial District East (Queen/Jarvis),0,0,0,0,0,0,0,0,"10,000",0
,TPA907260-1,St Lawrence Market,"St, Lawrence Market",0,"14,500",0,0,0,0,0,0,0,0
,TRN907831-1,Front Street Reconfiguration EA ,Front Street Reconfiguration EA,"2,500",0,0,0,0,0,0,0,0,0
,TRN907831-2,Front Street Reconfiguration EA ,Front Street Reconfiguration Streetscape Impr.,"3,300",0,0,0,0,0,0,0,0,0
,UNS907229-18,Union Station Revitilization ,North West PATH,0,430,0,0,0,0,0,0,0,0
,UNS907229-27,Union Station Revitilization ,Additional Funding for North West PATH,0,0,"18,000","8,000",0,0,0,0,0,0
,UNS907600-12,Union Station Redevelopment and Revitalization,Fees and Permits - Additional Funding,200,"1,000",0,0,0,0,0,0,0,0
,UNS907600-4,Union Station Redevelopment and Revitalization,Internal (City) Charges,750,500,0,0,0,0,0,0,0,0
,UNS907745-1,USR - Construction Contracts,Phase 1 - Construction,"6,000",0,0,0,0,0,0,0,0,0
,UNS907745-12,USR - Construction Contracts,Third Party Construction,500,500,0,0,0,0,0,0,0,0
,UNS907745-15,USR - Construction Contracts,Heritage Lighting,500,0,0,0,0,0,0,0,0,0
,UNS907745-2,USR - Construction Contracts,Phase 2 - Construction,"1,610.5","11,000",0,0,0,0,0,0,0,0
,UNS907745-3,USR - Construction Contracts,Phase 3 - Construction,0,"3,261.5",0,0,0,0,0,0,0,0
,UNS907745-4,USR - Construction Contracts,Phase 4 - Construction,0,0,"17,000",0,0,0,0,0,0,0
,UNS907745-5,USR - Construction Contracts,Phase 5 - Construction,0,0,"4,480",0,0,0,0,0,0,0
,UNS907745-6,USR - Construction Contracts,Other Construction,342.5,332.5,186,0,0,0,0,0,0,0
,UNS907746-1,USR - Professional Services,Phase 1 - Professional Services,340,0,0,0,0,0,0,0,0,0
,UNS907746-11,USR - Professional Services,Adjustments - Professional Services 2013,0,761,0,0,0,0,0,0,0,0
,UNS907746-2,USR - Professional Services,Phase 2 - Professional Services,476,57,0,0,0,0,0,0,0,0
,UNS907746-3,USR - Professional Services,Phase 3 - Professional Services,0,240,0,0,0,0,0,0,0,0
,UNS907746-5,USR - Professional Services,Phase 5 - Professional Services,0,0,79,0,0,0,0,0,0,0
,UNS907746-6,USR - Professional Services,Other Professional Services,638.5,311.5,0,0,0,0,0,0,0,0
,WAT907558-1,REGENT PARK CAPITAL CONTRIBUTION,REGENT PARK CAPITAL CONTRIBUTION,0,859,330,132,745,287,115,420,162,0
,PKS000017-733,Park Development,318 Queens Quay West Pk Development Construction,0,0,"3,000","1,000",0,0,0,0,0,0
,UNS907746-14,USR - Professional Services,Heritage Interpretation Plan - Additional Funding,250,0,0,0,0,0,0,0,0,0
,TPA907968-1,Elevator Upgrade CP 26,Elevator Upgrade CP 26,500,0,0,0,0,0,0,0,0,0
,TPA907962-1,Cabbagetown (51 Aberdeen),Cabbagetown (51 Arberdeen),0,"2,400",0,0,0,0,0,0,0,0
,TPA907969-1,Waterproofing/ concrete Repairs CP 26,Waterproofing/ concrete Repairs CP 26,100,0,0,0,0,0,0,0,0,0
,UNS907600-13,Union Station Redevelopment and Revitalization,Fees & Permits - Additional 2014,300,0,0,0,0,0,0,0,0,0
,TPA907992-1,Head Office refurbishment,head Office refurbishment,100,0,0,0,0,0,0,0,0,0
,PKS000017-730,Park Development,Market Ln Parkette & S Market Pk Dvt Design - S42,0,175,750,0,0,0,0,0,0,0
,UNS907745-17,USR - Construction Contracts,Heritage Lighting - Additional for Great Hall,750,0,0,0,0,0,0,0,0,0
,CHS907231-2,Regent Park Children's Hub,Regent Park Children's Hub,70,0,0,0,0,0,0,0,0,0
,ACH000016-91,Major Maintenance ,Berkley Theatre Capital Maintenance 2014,275,375,0,0,0,0,0,0,0,0
,TPA907976-1,Waterproofing/ concrete Repairs CP 52,Waterproofing/ concrete Repairs CP 52,300,0,0,0,0,0,0,0,0,0
,TPA907884-2,Fire Alarm Upgrade CP 52,Fire Alarm CP 52 20141,100,0,0,0,0,0,0,0,0,0
,TPA907974-1,Signage Upgrade Illuminated CP 43,Signage Upgrade Illuminated CP 43,200,0,0,0,0,0,0,0,0,0
,PKS000026-168,Special Facilities,Jack Layton Ferry Terminal Design Competition ,350,0,0,0,0,0,0,0,0,0
,FAC906394-338,Structural/Building Envelope,51 PARLIAMENT-exterior heritage windows security d,0,13,197,0,0,0,0,0,0,0
,PKS000015-69,Land Acquisition,318 Queens Quay West Park Remediation,75,0,0,0,0,0,0,0,0,0
,PKS000017-731,Park Development,Market Ln Parkette & S Pk Devt Construction - S42,0,"1,000","1,750",0,0,0,0,0,0,0
,TPA907978-1,CP 58 Resufacing and New Fence, CP 58 Resurfacing and New Fence,250,0,0,0,0,0,0,0,0,0
,TPA907979-1,Two Pay Station Booths CP 58,Two Pay Station Booths CP 58,150,0,0,0,0,0,0,0,0,0
,TPA907977-1,Signage upgrade Illuminated CP 52,Signage Upgrade Illuminated CP 52,50,0,0,0,0,0,0,0,0,0
,TRN907834-1,York/Bay/Yonge Reconfiguration ,York/Bay/Yonge Reconfiguration,0,0,"5,000",0,0,0,0,0,0,0
,PKS000017-741,Park Development,Ontario Street Parkette Ph.2 Improvements S42,100,0,0,0,0,0,0,0,0,0
,PKS000017-732,Park Development,318 Queens Quay W Pk Development Design ,80,320,0,0,0,0,0,0,0,0
,UNS907600-14,Union Station Redevelopment and Revitalization,Internal City Charges - Additional 2014,100,300,500,0,0,0,0,0,0,0
,PKS000015-68,Land Acquisition,Market Lane Parkette & S Market Pk Remediation ,0,50,0,0,0,0,0,0,0,0
,TPA907984-1,Concrete Repairs CP 125,Concrete Repairs CP 125,125,0,0,0,0,0,0,0,0,0
,PKS000017-743,Park Development,Berczy Park Design Phase 2- S42,250,0,0,0,0,0,0,0,0,0
,PKS000017-747,Park Development,Corktown Parks,207,0,0,0,0,0,0,0,0,0
,Toronto Centre-Rosedale-28 Total,,,"31,758.5","56,464.5","76,201","29,196","6,496","11,104","15,955","6,520","16,103","6,098"
29,Toronto-Danforth-29,,,,,,,,,,,,
,ACH000011-29,Service Enhancement,Todmorden Mills Museum Brewery FY,0,0,600,0,0,0,0,0,0,0
,ACH000012-147,Restoration/Preservation of Heritage Elements,Todmorden Mills Centre-2013,40,0,0,0,0,0,0,0,0,0
,ACH000013-28,Refurbishment and Rehabilitation,Todmorden Mills Interiors ,191,0,0,0,0,0,0,0,0,0
,FAC906395-245,Mechanical and Electrical,850 Coxwell Ave- Rpl Exhaust Fans,0,0,0,0,0,0,0,0,0,120
,FAC906395-283,Mechanical and Electrical,"1076 Pape-Rtroft Ltg Sys, Rpl Fire Alarm Sys",0,0,0,0,0,0,19,183,0,0
,FAC906395-404,Mechanical and Electrical,"44 Beechwood Dr-Rpl HVAC unit, BAS",0,0,38,314,0,0,0,0,0,0
,FAC906395-535,Mechanical and Electrical,"850 Coxwell Ave-RPL Chillers, Condensers",0,0,0,224,"2,000",0,0,0,0,0
,FAC906397-66,Renovations,1076 Pape-Replacement of All Flooring,0,0,0,0,17,181,0,0,0,0
,FAC906397-95,Renovations,175 Memorial Park - Carpet & Barrier Free Retrofit,0,0,0,16,184,0,0,0,0,0
,PKS000022-67,Trails & Pathways,Don Valley Brickworks - Todmorden Mills ,50,450,0,0,0,0,0,0,0,0
,FAC906395-869,Mechanical and Electrical,175 Memorial Park Ave - Various Projects,0,0,0,0,0,0,0,0,0,13
,FAC906395-863,Mechanical and Electrical,1076 Pape Ave - Various Projects,0,0,0,0,0,0,0,0,0,21
,ACH000012-159,Restoration/Preservation of Heritage Elements,Todmorden Mills Centre-2014,300,150,0,0,0,0,0,0,0,0
,FAC906395-912,Mechanical and Electrical,850 Coxwell -Var Mech SOGR Projects,0,0,0,0,0,0,0,0,0,139
,TPA907964-1,Nesbitt Lodge (CP 17),Nesbitt Lodge (CP 17),"2,100",0,0,0,0,0,0,0,0,0
,TPA907985-1,CP 149 Repaving and Lighting Upgrade,CP 149 Repaving and Lighting Upgrade,60,0,0,0,0,0,0,0,0,0
,PKS000017-683,Park Development,Langford to Logan Park Improvements,0,50,100,600,0,0,0,0,0,0
,PKS000017-682,Park Development,Sauriol Parkette improvements - S37,100,0,0,0,0,0,0,0,0,0
,TPA907983-1,CP 90 Repaving and Lighting Upgrade,CP 90 Repaving and Lighting Upgrade,60,0,0,0,0,0,0,0,0,0
,FAC906395-914,Mechanical and Electrical,850 Coxwell -Var Mech SOGR Projects,0,0,0,0,0,0,0,0,0,252
,TPA907960-1,"242 Danforth, E. of Broadview (CP 78 extension)","242 Danforth, E. of Broadview (CP 78 extension)","2,800",0,0,0,0,0,0,0,0,0
,TPA907981-1,CP 78 Repaving and Lighting Upgrade,CP 78 Repaving and Lighting Upgrade,160,0,0,0,0,0,0,0,0,0
,FAC906394-321,Structural/Building Envelope,175 Memorial Park Ave - Various Projects,0,0,0,0,0,0,0,0,0,18
,PKS000017-684,Park Development,Ward 29 Park Improvements - S42,200,0,0,0,0,0,0,0,0,0
,Toronto-Danforth-29 Total,,,"6,061",650,738,"1,154","2,201",181,19,183,0,563
30,Broadview-Greenwood-30,,,,,,,,,,,,
,ERP906993-17,Energy Retrofit Projects,Energy Retrofit Projects - Booth Yard,750,0,0,0,0,0,0,0,0,0
,FAC906394-28,Structural/Building Envelope,840 Gerrard E-Rpl  Slab and Install CO/NOx,716,0,0,0,0,0,0,0,0,0
,FAC906395-252,Mechanical and Electrical,786 Dundas St-Rpl heating boiler in bsmt,0,0,0,0,0,0,0,0,27,162
,FAC906396-69,Sitework,840 Gerrard St-Masonry repairs & waterproofing ,7,122,0,0,0,0,0,0,0,0
,FAC906397-2,Renovations,86 Blake - Renewal of Interior Finishes,0,0,0,0,6,57,0,0,0,0
,FAC906397-204,Renovations,153 Chatham-Interior Repainting,0,0,0,0,2,16,0,0,0,0
,PKS000015-60,Land Acquisition,1555 Danforth/WoodGreen Remediation,100,0,0,0,0,0,0,0,0,0
,PKS000017-586,Park Development,Joel Weeks/Don Mount FY2011,14,0,0,0,0,0,0,0,0,0
,TPA907287-1,Gerrard St. East (Broadview/ Coxwell),Gerrard St. East (Broadview/ Coxwell),0,0,0,0,0,0,0,0,"2,000",0
,TPA907795-1,Greektown (Danforth East),Greektown (Danforth East),0,0,0,0,0,0,0,"4,000",0,0
,TRC16    -38,WATERFRONT DEVELOPMENT,Wtrfrnt Dev:Keating Channel Dredging,320,320,320,320,320,0,0,0,0,0
,TRC16    -39,WATERFRONT DEVELOPMENT,Wtrfrnt Dev:Tommy Thompson Park Interim Management,240,240,240,240,240,0,0,0,0,0
,TRC16    -43,WATERFRONT DEVELOPMENT,Tommy Thompson- Cell 2 Capping Phase 1,200,50,50,50,50,0,0,0,0,0
,FAC906394-331,Structural/Building Envelope,433 EASTERN AVE-Windows and Doors Repairs,0,0,1,97,0,0,0,0,0,0
,PKS000017-678,Park Development,Ward 30 Park Improvements - S42/Donations,300,0,0,0,0,0,0,0,0,0
,FAC906395-887,Mechanical and Electrical,"433 EASTERN AVE-Lighting Sys incl. signs,batteries",0,0,0,13,165,0,0,0,0,0
,FAC906393-112,Re-roofing,301 Broadview Ave - Various Projects,0,0,0,0,0,0,0,0,0,5
,TPA907982-1,CP 87 Repaving and Lighting Upgrade,CP 87 Repaving and Lighting Upgrade,140,0,0,0,0,0,0,0,0,0
,FAC906395-910,Mechanical and Electrical, 765 Queen St-Replace rooftop HVAC unit #1,0,0,0,0,0,0,0,0,0,12
,FAC906395-886,Mechanical and Electrical,433 EASTERN AVE-Distribution and Lighting Panels,0,0,0,0,0,19,156,0,0,0
,AMB907920-1,South East District - Multi-Function Station,SE District - Multi-Function Station (LAND),0,0,0,0,0,575,0,0,0,0
,PKS000017-677,Park Development,Withrow Park - S42/S37,350,0,0,0,0,0,0,0,0,0
,PKS000015-72,Land Acquisition,Dundas Carlaw Parkland Acquisition,275,0,0,0,0,0,0,0,0,0
,TPA907975-1,"CP 45 Repaving, Lighting Upgrade and Wall","CP 45 Repaving, Lighting Upgrade and Wall",170,0,0,0,0,0,0,0,0,0
,FAC906394-341,Structural/Building Envelope,786 Dundas St E - Various Projects,0,0,0,0,0,0,0,0,0,8
,FAC906394-334,Structural/Building Envelope,433 EASTERN AVE-Exterior Doors Replacement,0,5,24,0,0,0,0,0,0,0
,Broadview-Greenwood-30 Total,,,"3,582",737,635,720,783,667,156,"4,000","2,027",187
31,Beaches-East York-31,,,,,,,,,,,,
,FAC906393-16,Re-roofing,89 Northline-Rpl Roof Section,565,221,0,0,0,0,0,0,0,0
,FAC906395-637,Mechanical and Electrical,89 Northline Rd-Rpl Rooftop HVAC Unit#4,0,0,0,0,0,0,0,0,5,40
,FAC906396-87,Sitework,1313 Woodbine Ave-Various Projects,0,0,0,33,95,601,0,0,0,0
,FAC906397-20,Renovations,"105 Cedarvale-Ext Wall Rehab, Rpl Windows",0,0,356,0,0,0,0,0,0,0
,LIB907596-1,Dawes Road Neighbourhood Library ,Dawes Road Neighbourhood Library Renovation,0,0,127,138,0,0,0,0,0,0
,PKS000022-88,Trails & Pathways,Ward 31 Pathway Lighting Upgrade,225,0,0,0,0,0,0,0,0,0
,FAC906394-327,Structural/Building Envelope,30 Northline Rd-Window & Exterior Door ,0,6,311,0,0,0,0,0,0,0
,FAC906393-111,Re-roofing,30 Northline Rd-Built Up Roof Replacement,0,0,3,130,0,0,0,0,0,0
,PKS000019-301,Playgrounds/Waterplay,George Webster Waterplay,0,200,0,0,0,0,0,0,0,0
,FAC906395-877,Mechanical and Electrical,3 Dohme Ave - Various Projects,0,0,0,0,0,0,0,0,0,13
,ACH000012-163,Restoration/Preservation of Heritage Elements,Goulding Massey Estate -FY,0,0,0,0,0,0,0,0,0,600
,FAC906395-862,Mechanical and Electrical,105 Cedarvale - Retrofit Existing Lighting System,0,0,0,0,0,0,0,0,0,7
,FAC906393-110,Re-roofing,3 DOHME AVE-Roof membrane replacement,0,0,0,0,0,0,0,0,0,7
,Beaches-East York-31 Total,,,790,427,797,301,95,601,0,0,5,667
32,Beaches-East York-32,,,,,,,,,,,,
,FAC906394-11,Structural/Building Envelope,97 Main -Repl Vertical Hung Windows,0,0,0,0,0,20,192,0,0,0
,FAC906396-15,Sitework,"101 Coxwell-Rpl pavement, sidewalks & curbs",0,25,261,0,0,0,0,0,0,0
,FAC906396-43,Sitework,"87 Main St-Asphalt Pavement,ext/int repainting",24,314,0,0,0,0,0,0,0,0
,PKS000017-273,Park Development,Fairmount Park Sport Field Renovations^,25,225,0,0,0,0,0,0,0,0
,PKS000017-511,Park Development,East Lynn Park Lighting^,0,0,100,0,0,0,0,0,0,0
,PKS000022-192,Trails & Pathways,Williamson/Highcroft Ravine/Fairmount Park ,175,0,0,0,0,0,0,0,0,0
,PKS000022-194,Trails & Pathways,Eastern Beaches Boardwalk Improvements ,392,0,0,0,0,0,0,0,0,0
,PKS000022-237,Trails & Pathways,Eastern Beaches Boardwalk Improvements Phase 2,450,0,0,0,0,0,0,0,0,0
,PKS000022-238,Trails & Pathways,Eastern Beaches Boardwalk Improvements Phase 3,50,200,0,0,0,0,0,0,0,0
,TPA000057-2,Kingston Rd W of Victoria Park,Kingston Rd. W of Victoria Park,100,"2,400",0,0,0,0,0,0,0,0
,TPA000061-3,Queen East (Kippendavie to Lee),Queen East (Lippendavie to Lee),0,0,0,0,0,0,"3,000",0,0,0
,TRC16    -41,WATERFRONT DEVELOPMENT,Wtrfrnt Dev :Ashbridges Bay,250,250,250,250,250,0,0,0,0,0
,WAS907097-7,ASHBRIDGES BAY WWTP - BUILDING SERVICES & SITE DEV,CONTROLLED SUBSTANCE IDENTIFICATION AND ABATEMENT,270,0,0,0,0,0,0,0,0,0
,PKS000017-686,Park Development,Ward 32 Park Improvements - S42,225,0,0,0,0,0,0,0,0,0
,PKS000017-685,Park Development,Stephenson Park Improvements - S42/S37,200,0,0,0,0,0,0,0,0,0
,PKS000016-321,Outdoor Recreation Centres,Ashbridges Bay Skateboard Pk-Ph.2 Bowl Constr,125,0,0,0,0,0,0,0,0,0
,FAC906393-127,Re-roofing,97 Main St - Various Projects,0,0,0,0,0,0,0,0,0,11
,Beaches-East York-32 Total,,,"2,286","3,414",611,250,250,20,"3,192",0,0,11
33,Don Valley East-33,,,,,,,,,,,,
,ACH000012-106,Restoration/Preservation of Heritage Elements,Zion Schoolhouse Roof & Masonry - FY,0,150,0,0,247,0,450,0,0,0
,ACH000013-30,Refurbishment and Rehabilitation,Zion Schoolhouse Interiors -  FY,0,0,0,0,0,100,0,0,0,0
,FAC906395-246,Mechanical and Electrical,115 Parkway Forest -Various Projects,0,0,0,12,111,0,0,0,0,0
,FAC906396-76,Sitework,115 Parkway Forest-Asphalt Ravement,0,0,0,20,0,278,0,0,0,0
,PKS000019-187,Playgrounds/Waterplay,Shawnee Park - New Waterplay^ ,31,0,0,0,0,0,0,0,0,0
,PKS000019-284,Playgrounds/Waterplay,Parkway Forest - New Waterplay,0,50,550,0,0,0,0,0,0,0
,PKS023   -279,Community Centres,Parkway Forest CC Furniture,600,0,0,0,0,0,0,0,0,0
,PKS023   -282,Community Centres,Oriole CC Design - S37,175,0,0,0,0,0,0,0,0,0
,PKS023   -283,Community Centres,Oriole CC Construction - S37,0,847,96,0,0,0,0,0,0,0
,PKS000017-669,Park Development,Ward 33 Park Improvements - S42/S37,119,0,0,0,0,0,0,0,0,0
,PKS000017-670,Park Development,Lescon Park Lights - S37,60,0,0,0,0,0,0,0,0,0
,Don Valley East-33 Total,,,985,"1,047",646,32,358,378,450,0,0,0
34,Don Valley East-34,,,,,,,,,,,,
,FAC906393-71,Re-roofing,18 Dyas-Replacement of Warehouse Roof and Parking ,211,100,0,0,0,0,0,0,0,0
,FAC906394-187,Structural/Building Envelope,"14 Days-Rpl Wlkwys,Stairs & Lower Roof",0,0,203,249,0,0,0,0,0,0
,FAC906395-227,Mechanical and Electrical,18 Dyas-Co Monitoring,0,0,0,0,0,0,0,138,983,0
,FAC906395-639,Mechanical and Electrical,143 Bond St-Repl Boilers,0,0,0,24,0,201,0,0,0,0
,FAC906397-198,Renovations,"14 Days-Replace Carpet Flooring, Paint",0,17,54,0,0,0,0,0,0,0
,LIB907892-1,Brookbanks Renovation,Brookbanks Renovation,0,0,0,0,0,0,149,176,"1,500",0
,LIB907892-2,Brookbanks Renovation,Brookbanks Expansion,0,0,0,0,0,0,0,0,0,543
,PKS000017-544,Park Development,Graydon Hall Pk Improvements - S37,100,0,0,0,0,0,0,0,0,0
,PKS000021-152,Arena,Victoria Village Arena Additional Community Space,60,0,0,0,0,0,0,0,0,0
,PKS000021-196,Arena,Don Mills Civitan Arena Replacement - Design,0,0,200,0,0,0,0,0,0,0
,PKS000021-197,Arena,Don Mills Civitan Arena Replacement - Construction,0,0,0,0,"4,545","5,119",0,0,0,0
,FAC906394-320,Structural/Building Envelope,160 DUNCAN MILL-Structural InteriorFinishes Mechan,0,0,0,18,272,0,0,0,0,0
,PKS000017-720,Park Development,Ward 34 South Park Improvements S42,230,0,0,0,0,0,0,0,0,0
,FAC906395-871,Mechanical and Electrical,2 DYAS-Various Mech SOGR Projects,0,0,30,311,0,0,0,0,0,0
,FAC906397-274,Renovations,14 Dyas -Var Interior Finishes Projects,0,0,0,0,0,0,0,0,0,26
,FAC906395-870,Mechanical and Electrical,18 Dyas Road - Various Projects - Electrical 1,0,0,0,0,0,0,0,0,0,137
,PKS000017-701,Park Development,Graydon Hall Park Improvements FY2014,400,0,0,0,0,0,0,0,0,0
,Don Valley East-34 Total,,,"1,001",117,487,602,"4,817","5,320",149,314,"2,483",706
35,Scarborough Southwest-35,,,,,,,,,,,,
,FAC906397-251,Renovations,313 Pharmacy- Parking&Outdoor Rink,0,0,0,166,759,0,0,0,0,0
,FAC906397-75,Renovations,"313 Pharmacy Ave-Repaint Ceilings, Floors",0,0,0,0,0,0,0,0,0,41
,PKS000019-207,Playgrounds/Waterplay,Clairlea Park - Install Spray Pad^,0,50,450,0,0,0,0,0,0,0
,FAC906395-880,Mechanical and Electrical,313 Pharmacy Ave - Various Projects,0,0,0,0,0,0,0,0,0,12
,PKS000017-739,Park Development,Ward 35 Park Improvements - S42/S37/S45,256,0,0,0,0,0,0,0,0,0
,Scarborough Southwest-35 Total,,,256,50,450,166,759,0,0,0,0,53
36,Scarborough Southwest-36,,,,,,,,,,,,
,FAC906395-270,Mechanical and Electrical,116 Dorset Dr-Replace DHW Heater,0,2,17,0,0,0,0,0,0,0
,FAC906396-42,Sitework,"1535 Kingston - Rpl Sidewalk, Curbs, Asphalt",0,0,0,0,0,0,13,159,0,0
,PKS000017-661,Park Development,Midland/St. Clair Pk E Development - S37,240,0,0,0,0,0,0,0,0,0
,PKS000019-198,Playgrounds/Waterplay,Cathedral Bluffs Park Playground/Splash Pad^,0,50,450,0,0,0,0,0,0,0
,PKS000022-118,Trails & Pathways,Bluffers Park - Install Pathway Lighting^,0,150,0,0,0,0,0,0,0,0
,PKS023   -288,Community Centres,Birchmount CC - Build Double Gym - Design ,0,350,250,0,0,0,0,0,0,0
,PKS023   -289,Community Centres,Birchmount CC - Build Double Gym Construction,0,0,0,700,0,0,0,0,0,0
,PKS000017-716,Park Development,"McCowan District Park, Phase 2 - Construction",0,13,0,0,0,0,0,0,0,0
,FAC906397-276,Renovations,1535 Kingston Road - Various Projects,0,0,0,0,0,0,0,0,0,113
,FAC906397-275,Renovations,1535 Kingston Road - Various Projects,0,0,0,0,0,0,0,0,0,17
,PKS000017-715,Park Development,"McCowan District Park, Phase 2 - Design",100,125,100,100,0,0,0,0,0,0
,Scarborough Southwest-36 Total,,,340,690,817,800,0,0,13,159,0,130
37,Scarborough Centre-37,,,,,,,,,,,,
